,Data_Value,colx,nIndex
111,62.5,Cigarette Use (Adults)Smoking StatusNever,2015ID
112,15.1,Cigarette Use (Adults)Current Smoking,2015IL
113,61.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015IL
114,53.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015IL
115,65.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015IL
116,34.1,Cigarette Use (Adults)Smoking FrequencySome Days,2015IL
117,15.1,Cigarette Use (Adults)Smoking StatusCurrent,2015IL
118,24.4,Cigarette Use (Adults)Smoking StatusFormer,2015IL
119,60.5,Cigarette Use (Adults)Smoking StatusNever,2015IL
120,20.6,Cigarette Use (Adults)Current Smoking,2015IN
121,55.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015IN
122,49.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015IN
123,71.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015IN
124,28.5,Cigarette Use (Adults)Smoking FrequencySome Days,2015IN
125,20.6,Cigarette Use (Adults)Smoking StatusCurrent,2015IN
126,25.5,Cigarette Use (Adults)Smoking StatusFormer,2015IN
127,53.9,Cigarette Use (Adults)Smoking StatusNever,2015IN
128,18.1,Cigarette Use (Adults)Current Smoking,2015IA
129,58.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015IA
130,48.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015IA
131,72.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015IA
132,27.6,Cigarette Use (Adults)Smoking FrequencySome Days,2015IA
133,18.1,Cigarette Use (Adults)Smoking StatusCurrent,2015IA
134,25.6,Cigarette Use (Adults)Smoking StatusFormer,2015IA
135,56.3,Cigarette Use (Adults)Smoking StatusNever,2015IA
136,17.7,Cigarette Use (Adults)Current Smoking,2015KS
137,57.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015KS
138,47.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015KS
139,70.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015KS
140,29.9,Cigarette Use (Adults)Smoking FrequencySome Days,2015KS
141,17.7,Cigarette Use (Adults)Smoking StatusCurrent,2015KS
142,24.1,Cigarette Use (Adults)Smoking StatusFormer,2015KS
143,58.1,Cigarette Use (Adults)Smoking StatusNever,2015KS
144,25.9,Cigarette Use (Adults)Current Smoking,2015KY
145,49.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015KY
146,46.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015KY
147,79.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015KY
148,21.0,Cigarette Use (Adults)Smoking FrequencySome Days,2015KY
149,25.9,Cigarette Use (Adults)Smoking StatusCurrent,2015KY
150,25.1,Cigarette Use (Adults)Smoking StatusFormer,2015KY
151,48.9,Cigarette Use (Adults)Smoking StatusNever,2015KY
152,21.9,Cigarette Use (Adults)Current Smoking,2015LA
153,50.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015LA
154,53.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015LA
155,69.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015LA
156,30.8,Cigarette Use (Adults)Smoking FrequencySome Days,2015LA
157,21.9,Cigarette Use (Adults)Smoking StatusCurrent,2015LA
158,22.5,Cigarette Use (Adults)Smoking StatusFormer,2015LA
159,55.7,Cigarette Use (Adults)Smoking StatusNever,2015LA
160,19.5,Cigarette Use (Adults)Current Smoking,2015ME
161,61.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015ME
162,51.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015ME
163,79.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015ME
164,20.8,Cigarette Use (Adults)Smoking FrequencySome Days,2015ME
165,19.5,Cigarette Use (Adults)Smoking StatusCurrent,2015ME
166,31.6,Cigarette Use (Adults)Smoking StatusFormer,2015ME
167,48.9,Cigarette Use (Adults)Smoking StatusNever,2015ME
168,15.1,Cigarette Use (Adults)Current Smoking,2015MD
169,60.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015MD
170,51.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015MD
171,67.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015MD
172,32.4,Cigarette Use (Adults)Smoking FrequencySome Days,2015MD
173,15.1,Cigarette Use (Adults)Smoking StatusCurrent,2015MD
174,23.4,Cigarette Use (Adults)Smoking StatusFormer,2015MD
175,61.5,Cigarette Use (Adults)Smoking StatusNever,2015MD
176,14.0,Cigarette Use (Adults)Current Smoking,2015MA
177,65.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015MA
178,53.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015MA
179,68.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015MA
180,31.9,Cigarette Use (Adults)Smoking FrequencySome Days,2015MA
181,14.0,Cigarette Use (Adults)Smoking StatusCurrent,2015MA
182,26.9,Cigarette Use (Adults)Smoking StatusFormer,2015MA
183,59.1,Cigarette Use (Adults)Smoking StatusNever,2015MA
184,20.7,Cigarette Use (Adults)Current Smoking,2015MI
185,56.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015MI
186,55.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015MI
187,71.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015MI
188,28.2,Cigarette Use (Adults)Smoking FrequencySome Days,2015MI
189,20.7,Cigarette Use (Adults)Smoking StatusCurrent,2015MI
190,26.3,Cigarette Use (Adults)Smoking StatusFormer,2015MI
191,53.0,Cigarette Use (Adults)Smoking StatusNever,2015MI
192,16.2,Cigarette Use (Adults)Current Smoking,2015MN
193,62.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015MN
194,47.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015MN
195,69.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015MN
196,30.6,Cigarette Use (Adults)Smoking FrequencySome Days,2015MN
197,16.2,Cigarette Use (Adults)Smoking StatusCurrent,2015MN
198,26.7,Cigarette Use (Adults)Smoking StatusFormer,2015MN
199,57.1,Cigarette Use (Adults)Smoking StatusNever,2015MN
200,22.5,Cigarette Use (Adults)Current Smoking,2015MS
201,48.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015MS
202,60.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015MS
203,68.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015MS
204,31.1,Cigarette Use (Adults)Smoking FrequencySome Days,2015MS
205,22.5,Cigarette Use (Adults)Smoking StatusCurrent,2015MS
206,21.3,Cigarette Use (Adults)Smoking StatusFormer,2015MS
207,56.1,Cigarette Use (Adults)Smoking StatusNever,2015MS
208,22.3,Cigarette Use (Adults)Current Smoking,2015MO
209,53.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015MO
210,49.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015MO
211,74.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015MO
212,25.8,Cigarette Use (Adults)Smoking FrequencySome Days,2015MO
213,22.3,Cigarette Use (Adults)Smoking StatusCurrent,2015MO
214,25.9,Cigarette Use (Adults)Smoking StatusFormer,2015MO
215,51.9,Cigarette Use (Adults)Smoking StatusNever,2015MO
216,18.9,Cigarette Use (Adults)Current Smoking,2015MT
217,59.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015MT
218,48.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015MT
219,68.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015MT
220,31.9,Cigarette Use (Adults)Smoking FrequencySome Days,2015MT
221,18.9,Cigarette Use (Adults)Smoking StatusCurrent,2015MT
222,27.2,Cigarette Use (Adults)Smoking StatusFormer,2015MT
223,53.9,Cigarette Use (Adults)Smoking StatusNever,2015MT
224,58.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015US
225,51.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015US
226,25.1,Cigarette Use (Adults)Smoking StatusFormer,2015US
227,17.5,Cigarette Use (Adults)Smoking StatusCurrent,2015US
228,17.1,Cigarette Use (Adults)Current Smoking,2015NE
229,58.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015NE
230,51.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015NE
231,72.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015NE
232,27.2,Cigarette Use (Adults)Smoking FrequencySome Days,2015NE
233,17.1,Cigarette Use (Adults)Smoking StatusCurrent,2015NE
234,24.4,Cigarette Use (Adults)Smoking StatusFormer,2015NE
235,58.5,Cigarette Use (Adults)Smoking StatusNever,2015NE
236,17.5,Cigarette Use (Adults)Current Smoking,2015NV
237,59.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015NV
238,54.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015NV
239,66.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015NV
240,33.4,Cigarette Use (Adults)Smoking FrequencySome Days,2015NV
241,17.5,Cigarette Use (Adults)Smoking StatusCurrent,2015NV
242,25.6,Cigarette Use (Adults)Smoking StatusFormer,2015NV
243,56.9,Cigarette Use (Adults)Smoking StatusNever,2015NV
244,15.9,Cigarette Use (Adults)Current Smoking,2015NH
245,65.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015NH
246,51.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015NH
247,70.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015NH
248,29.2,Cigarette Use (Adults)Smoking FrequencySome Days,2015NH
249,15.9,Cigarette Use (Adults)Smoking StatusCurrent,2015NH
250,30.3,Cigarette Use (Adults)Smoking StatusFormer,2015NH
251,53.8,Cigarette Use (Adults)Smoking StatusNever,2015NH
252,13.5,Cigarette Use (Adults)Current Smoking,2015NJ
253,65.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015NJ
254,55.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015NJ
255,63.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015NJ
256,36.8,Cigarette Use (Adults)Smoking FrequencySome Days,2015NJ
257,13.5,Cigarette Use (Adults)Smoking StatusCurrent,2015NJ
258,25.2,Cigarette Use (Adults)Smoking StatusFormer,2015NJ
259,61.3,Cigarette Use (Adults)Smoking StatusNever,2015NJ
260,17.5,Cigarette Use (Adults)Current Smoking,2015NM
261,58.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015NM
262,53.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015NM
263,64.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015NM
264,35.5,Cigarette Use (Adults)Smoking FrequencySome Days,2015NM
265,17.5,Cigarette Use (Adults)Smoking StatusCurrent,2015NM
266,24.7,Cigarette Use (Adults)Smoking StatusFormer,2015NM
267,57.7,Cigarette Use (Adults)Smoking StatusNever,2015NM
268,15.2,Cigarette Use (Adults)Current Smoking,2015NY
269,61.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015NY
270,54.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015NY
271,66.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015NY
272,33.1,Cigarette Use (Adults)Smoking FrequencySome Days,2015NY
273,15.2,Cigarette Use (Adults)Smoking StatusCurrent,2015NY
274,24.2,Cigarette Use (Adults)Smoking StatusFormer,2015NY
275,60.6,Cigarette Use (Adults)Smoking StatusNever,2015NY
276,19.0,Cigarette Use (Adults)Current Smoking,2015NC
277,57.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015NC
278,57.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015NC
279,71.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015NC
280,28.7,Cigarette Use (Adults)Smoking FrequencySome Days,2015NC
281,19.0,Cigarette Use (Adults)Smoking StatusCurrent,2015NC
282,25.8,Cigarette Use (Adults)Smoking StatusFormer,2015NC
283,55.2,Cigarette Use (Adults)Smoking StatusNever,2015NC
284,18.7,Cigarette Use (Adults)Current Smoking,2015ND
285,56.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015ND
286,46.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015ND
287,73.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015ND
288,27.0,Cigarette Use (Adults)Smoking FrequencySome Days,2015ND
289,18.7,Cigarette Use (Adults)Smoking StatusCurrent,2015ND
290,24.5,Cigarette Use (Adults)Smoking StatusFormer,2015ND
291,56.7,Cigarette Use (Adults)Smoking StatusNever,2015ND
292,21.6,Cigarette Use (Adults)Current Smoking,2015OH
293,53.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015OH
294,51.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015OH
295,72.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015OH
296,27.3,Cigarette Use (Adults)Smoking FrequencySome Days,2015OH
297,21.6,Cigarette Use (Adults)Smoking StatusCurrent,2015OH
298,24.4,Cigarette Use (Adults)Smoking StatusFormer,2015OH
299,54.0,Cigarette Use (Adults)Smoking StatusNever,2015OH
300,22.2,Cigarette Use (Adults)Current Smoking,2015OK
301,52.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015OK
302,50.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015OK
303,72.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015OK
304,27.9,Cigarette Use (Adults)Smoking FrequencySome Days,2015OK
305,22.2,Cigarette Use (Adults)Smoking StatusCurrent,2015OK
306,24.7,Cigarette Use (Adults)Smoking StatusFormer,2015OK
307,53.1,Cigarette Use (Adults)Smoking StatusNever,2015OK
308,17.1,Cigarette Use (Adults)Current Smoking,2015OR
309,61.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015OR
310,47.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015OR
311,67.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015OR
312,32.2,Cigarette Use (Adults)Smoking FrequencySome Days,2015OR
313,17.1,Cigarette Use (Adults)Smoking StatusCurrent,2015OR
314,27.0,Cigarette Use (Adults)Smoking StatusFormer,2015OR
315,55.9,Cigarette Use (Adults)Smoking StatusNever,2015OR
316,18.1,Cigarette Use (Adults)Current Smoking,2015PA
317,58.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015PA
318,52.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015PA
319,73.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015PA
320,26.8,Cigarette Use (Adults)Smoking FrequencySome Days,2015PA
321,18.1,Cigarette Use (Adults)Smoking StatusCurrent,2015PA
322,26.0,Cigarette Use (Adults)Smoking StatusFormer,2015PA
323,55.9,Cigarette Use (Adults)Smoking StatusNever,2015PA
324,10.7,Cigarette Use (Adults)Current Smoking,2015PR
325,60.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015PR
326,62.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015PR
327,71.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015PR
328,28.7,Cigarette Use (Adults)Smoking FrequencySome Days,2015PR
329,10.7,Cigarette Use (Adults)Smoking StatusCurrent,2015PR
330,16.6,Cigarette Use (Adults)Smoking StatusFormer,2015PR
331,72.6,Cigarette Use (Adults)Smoking StatusNever,2015PR
332,15.5,Cigarette Use (Adults)Current Smoking,2015RI
333,64.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015RI
334,48.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015RI
335,69.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015RI
336,30.9,Cigarette Use (Adults)Smoking FrequencySome Days,2015RI
337,15.5,Cigarette Use (Adults)Smoking StatusCurrent,2015RI
338,27.9,Cigarette Use (Adults)Smoking StatusFormer,2015RI
339,56.6,Cigarette Use (Adults)Smoking StatusNever,2015RI
340,19.7,Cigarette Use (Adults)Current Smoking,2015SC
341,56.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015SC
342,55.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015SC
343,69.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015SC
344,30.4,Cigarette Use (Adults)Smoking FrequencySome Days,2015SC
345,19.7,Cigarette Use (Adults)Smoking StatusCurrent,2015SC
346,25.0,Cigarette Use (Adults)Smoking StatusFormer,2015SC
347,55.4,Cigarette Use (Adults)Smoking StatusNever,2015SC
348,20.1,Cigarette Use (Adults)Current Smoking,2015SD
349,56.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015SD
350,49.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015SD
351,69.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015SD
352,30.4,Cigarette Use (Adults)Smoking FrequencySome Days,2015SD
353,20.1,Cigarette Use (Adults)Smoking StatusCurrent,2015SD
354,25.8,Cigarette Use (Adults)Smoking StatusFormer,2015SD
355,54.1,Cigarette Use (Adults)Smoking StatusNever,2015SD
356,21.9,Cigarette Use (Adults)Current Smoking,2015TN
357,53.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015TN
358,48.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015TN
359,72.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015TN
360,27.6,Cigarette Use (Adults)Smoking FrequencySome Days,2015TN
361,21.9,Cigarette Use (Adults)Smoking StatusCurrent,2015TN
362,24.8,Cigarette Use (Adults)Smoking StatusFormer,2015TN
363,53.3,Cigarette Use (Adults)Smoking StatusNever,2015TN
364,15.2,Cigarette Use (Adults)Current Smoking,2015TX
365,58.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015TX
366,50.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015TX
367,62.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015TX
368,37.7,Cigarette Use (Adults)Smoking FrequencySome Days,2015TX
369,15.2,Cigarette Use (Adults)Smoking StatusCurrent,2015TX
370,21.3,Cigarette Use (Adults)Smoking StatusFormer,2015TX
371,63.5,Cigarette Use (Adults)Smoking StatusNever,2015TX
372,9.1,Cigarette Use (Adults)Current Smoking,2015UT
373,64.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2015UT
374,52.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2015UT
375,69.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2015UT
376,30.6,Cigarette Use (Adults)Smoking FrequencySome Days,2015UT
377,9.1,Cigarette Use (Adults)Smoking StatusCurrent,2015UT
378,16.1,Cigarette Use (Adults)Smoking StatusFormer,2015UT
